Species,X,Y
Bison,-641964.6407,995446.7775
Bison,-906279.8783,-278305.692
Bison,-748350.2392,563714.2054
Bison,-207187.4268,750734.2609
Bison,-249651.2885,-373874.4715
Bison,-803996.0937,479543.6486
Bison,-790673.2054,882975.2391
Bison,-120729.8306,715153.6093
Bison,-731583.8369,-250679.7749
Bison,-515702.2813,-28866.6903
Bison,-963188.7139,293579.8762
Bison,-1046210.918,130695.8065
Bison,22306.7576,510114.0591
Bison,-1134250.801,1075750.551
Bison,-667659.6359,1761358.597
Bison,-924206.892,-44733.9462
Bison,-848865.6709,333463.3865
Bison,-693122.1143,1776678.231
Bison,-553185.1797,804199.7926
Bison,-1001811.628,821677.2898
Bison,-334920.4871,269826.6544
Bison,-1063728.989,854267.6186
Bison,-811365.2338,129203.3991
Bison,-983194.3174,779385.5438
Bison,-603177.8253,-181783.1658
Bison,-823482.2241,-180330.2486
Bison,-845286.3132,788267.6904
Bison,-675072.2994,1782315.929
Bison,-939715.815,883889.8808
Bison,-57558.6468,487351.8555
Bison,-864739.307,331780.6167
Bison,-708491.2941,1858893.5
Bison,-439228.048,892149.1729
Bison,-880411.3693,-283998.0082
Bison,-561761.0547,643141.9206
Bison,-579694.5041,-194429.5082
Bison,-911984.1692,-287850.6544
Bison,-26850.3888,455438.5249
Bison,-1166328.52,1065104.725
Bison,-1028192.858,841821.2218
Bison,-740686.7884,561980.9566
Bison,-965677.304,-71176.2844
Bison,-643179.0472,995869.827
Bison,-944866.523,-283.4005
Bison,-506382.4218,813142.1482
Bison,-807630.2611,564936.9375
Bison,-1083837.937,-188706.3977
Bison,-308740.3369,881551.5772
Bison,-933612.3098,-220688.6705
Bison,-367136.7702,782297.0428
Bison,-1044154.111,1033019.004
Bison,-846581.9762,331210.6688
Bison,-992749.7748,804502.5666
Bison,-966880.5557,978091.677
Bison,-448590.912,85940.843
Bison,-319217.7409,-338896.8699
Bison,-966535.2228,987223.4566
Bison,-483990.3341,728497.0194
Bison,-430256.9789,867771.4571
Bison,-1062306.944,297670.9187
Bison,-930223.437,-90136.7283
Bison,-528922.8184,164268.7629
Bison,-536981.2209,655639.5737
Bison,-668269.2942,1550290.529
Bison,-1176315.138,1063929.054
Bison,-1001985.613,-126211.9982
Bison,-254926.8888,769599.8158
Bison,-484921.4802,757768.981
Bison,-391578.3197,885815.2562
Bison,23310.53,-478074.6742
Bison,-449361.2965,684124.7799
Bison,-782338.3615,590480.6927
Bison,-904620.1785,-258363.9169
Bison,-925068.0776,922613.3643
Bison,-441908.9106,891653.9768
Bison,-769607.0012,541363.2221
Bison,-1044796.746,126293.0599
Bison,-460871.6845,799919.4348
Bison,23166.7845,511946.3127
Bison,-508880.0355,844445.8002
Bison,-156334.3704,287433.7644
Bison,-457556.7971,90942.1657
Bison,-654750.5667,-271267.9986
Bison,-328958.2628,-331538.3397
Bison,-424386.2018,84091.7732
Bison,-835927.0387,339381.0162
Bison,-863001.9755,1201646.379
Bison,-938074.8298,158929.2051
Bison,-500551.1399,327939.5235
Bison,-937284.7568,-169428.798
Bison,200409.1987,545148.1306
Bison,-562476.92,799806.8055
Bison,-639118.4163,855908.0012
Bison,-1027270.761,1285473.407
Bison,-1050293.254,50202.4413
Bison,-402940.1711,924193.5545
Bison,-868156.423,889355.0364
Bison,-908288.9756,347580.6076
Bison,-1049637.038,-146144.5544
Bison,23412.7922,508139.6524
Bison,-52891.1094,344618.4678
Bison,-568466.6002,686045.088
Bison,-1153901.138,1352785.803
Bison,-935521.0985,-165902.0511
Bison,-1194500.886,1470718.889
Bison,27272.2238,-481679.8859
Bison,-986574.7624,104008.0795
Bison,-1115774.532,919352.2449
Bison,-571879.1747,662822.8983
Bison,-1023253.726,858110.2974
Bison,-100039.3414,606946.8944
Bison,-519026.6984,91078.3408
Bison,-304986.1981,840016.6684
Bison,-669167.4305,345670.5325
Bison,-463871.6805,694392.1593
Bison,-779588.2912,-211935.6117
Bison,-1056021.269,853213.5872
Bison,-719697.2956,-241662.7808
Bison,-1048381.906,142821.7433
Bison,-659211.1019,1518391.388
Bison,-693572.8299,703803.3728
Bison,-1200497.033,1035912.971
Bison,-1205218.079,1016545.927
Bison,-1073330.694,941706.5578
Bison,-71255.7567,220944.3403
Bison,-840728.2564,924496.0883
Bison,-619293.4831,318880.742
Bison,-1002988.375,86363.1151
Bison,-1115193.7,903251.2307
Bison,-369495.8097,-511012.3102
Bison,-1041991.035,77273.6746
Bison,-982666.0391,125420.0378
Bison,-997778.8631,-45665.2082
Bison,-689082.7465,1842244.892
Bison,-890509.0999,165949.3185
Bison,-800895.6771,1184417.148
Bison,-937646.1181,30070.0401
Bison,-913264.8963,116664.2181
Bison,-1087041.794,-191236.6978
Bison,-949474.5586,484593.4379
Bison,-708490.9357,1815330.527
Bison,-978290.0871,-120999.901
Bison,-79496.3023,-421130.417
Bison,-419988.5362,855301.8808
Bison,-211950.4752,351407.8073
Bison,-675817.0898,1785451.132
Bison,-505325.1845,820401.2449
Bison,-1102907.01,929186.5601
Bison,-1027096.492,-177598.0983
Bison,-303201.9713,832273.0968
Bison,-1045637.906,124659.8018
Bison,-656204.4059,1307428.749
Bison,-1020827.125,83797.5419
Bison,-478690.7839,-220516.2559
Bison,-1058909.648,160329.7497
Bison,-888234.36,807398.6807
Bison,-1087534.66,-28339.2633
Bison,-697823.3205,1773899.979
Bison,-1119828.42,-85577.1752
Bison,-356539.6931,780886.1194
Bison,-814819.7872,-186653.7619
Bison,-575610.74,154817.1038
Bison,-1023047.026,83990.768
Bison,-662374.2328,1746885.454
Bison,-747350.445,1826247.106
Bison,-915846.2211,63248.6572
Bison,-873983.8011,888410.4223
Bison,-310783.5264,882255.6642
Bison,-906333.845,-55151.4167
Bison,-1038131.37,85740.4827
Bison,-1034262.585,79019.782
Bison,-555325.0694,-71580.249
Bison,-475552.7914,-735.8399
Bison,-719222.5711,1789942.637
Bison,-185252.1879,737748.8379
Bison,-410721.5223,-289229.5913
Bison,-809783.5471,-134931.8426
Bison,-240368.5316,-155179.2389
Bison,-369766.0081,884775.9308
Bison,-512484.5243,811573.3954
Bison,-1036860.808,-155145.4855
Bison,-845452.749,848115.7496
Bison,-1009808.047,77236.2347
Bison,-1060052.517,58948.7255
Bison,-217273.8864,-396165.5426
Bison,-1118293.217,863405.2128
Bison,-541856.3981,-240829.0256
Bison,-953326.0889,-65206.809
Bison,-992098.2155,-147705.8159
Bison,-998175.2867,794541.8034
Bison,-344363.9051,-320200.6792
Bison,-788576.8906,371002.4411
Bison,-832150.1067,340722.6224
Bison,-1033644.419,84585.1529
Bison,-1047681.317,127471.955
Bison,-879887.8319,191034.5659
Bison,-1007181.022,683735.6127
Bison,-480102.6414,772554.1998
Bison,-1027711.701,-11593.198
Bison,-1095803.722,936754.338
Bison,-595654.9906,300788.0888
Bison,-157494.0894,997514.9876
Bison,-695068.9108,1714420.705
Bison,-1115717.123,28512.9859
Bison,-992435.9974,96953.0437
Bison,-1178841.766,1059333.381
Bison,-1040632.162,70970.543
Bison,-823911.3872,-170954.1549
Bison,-473317.6823,692615.0918
Bison,-891758.6621,-48707.857
Bison,-1204151.492,1005163.443
Bison,-803939.1411,-188673.1591
Bison,-690922.5671,105298.7852
Bison,-875176.6945,847082.1399
Bison,-477252.9133,839931.9317
Bison,-1042205.608,-42425.8428
Bison,-768836.421,282345.6717
Bison,-914860.3672,864131.8351
Bison,-914108.0685,62300.1466
Bison,-958693.7361,26961.771
Bison,-694362.7252,106068.1844
Bison,-1058032.687,160736.0822
Bison,-260809.9916,-367544.601
Bison,-646494.0276,1568587.399
Bison,-1018468.226,81149.4213
Bison,-1071366.704,931878.8786
Bison,-736584.8724,-255954.7715
Bison,-391017.7215,-298974.4062
Bison,-758191.5258,-249913.7016
Bison,-887305.6359,236376.5892
Bison,-846279.9068,332865.68
Bison,-689743.181,1743209.253
Bison,-688119.1396,1702069.25
Bison,-430277.0589,906991.7434
Bison,-221875.0677,-451155.2001
Bison,-1051582.115,-200210.236
Bison,149975.122,-240790.1223
Bison,-682890.4736,1007557.302
Bison,-709095.5039,1851460.33
Bison,-1060833.73,-176476.4885
Bison,-742665.4538,123949.9975
Bison,-861725.7957,888528.8696
Bison,-561550.1045,317835.4157
Bison,-1026914.855,-41266.5211
Bison,-547883.4865,800713.7855
Bison,-409314.8208,630463.1539
Bison,-871182.7238,1024167.748
Bison,-342656.7316,907169.6565
Bison,-999701.9329,696376.8836
Bison,-446259.4174,885513.8578
Bison,-942123.0211,154920.237
Bison,-996352.535,846986.4605
Bison,-844251.4215,341244.5012
Bison,-868715.3162,888742.545
Bison,-608403.4455,975866.0849
Bison,-640639.0661,995059.785
Bison,-644156.7415,42652.9738
Bison,-1016103.677,690981.1483
Bison,-940237.4109,-176154.9536
Bison,-318093.1916,-518708.4751
Bison,-202026.2834,-120297.5715
Bison,-56140.6342,407053.0286
Bison,-603261.2052,1294912.716
Bison,-413038.2696,74144.9779
Bison,-846965.3741,335887.9117
Bison,-1023999.18,116467.6684
Bison,-729871.6852,344919.1934
Bison,-879668.7673,886310.8836
Bison,-978170.7063,880083.3877
Bison,-662013.9636,1731669.801
Bison,-659742.5863,1561145.57
Bison,-1051082.198,50997.3015
Bison,-823439.1771,893404.0373
Bison,-1120080.99,769973.1626
Bison,-1028422.615,85145.2158
Bison,-475577.544,161061.0478
Bison,-1015049.567,-133545.5617
Bison,-785239.346,372997.213
Bison,-542146.0328,793247.8
Bison,-920073.4763,786158.2764
Bison,-31962.1237,-449063.826
Bison,-1047049.795,51793.7461
Bison,-829523.2276,1034113.36
Bison,-1091667.955,934144.6758
Bison,-1105185.789,928210.1645
Bison,-419817.9493,357116.604
Bison,65279.9217,-502362.3049
Bison,-413754.2797,75517.1862
Bison,-537000.5724,853950.5353
Bison,-912294.607,-45882.8173
Bison,-981684.3812,966616.5874
Bison,-992548.0792,701907.5605
Bison,-1052318.608,49612.246
Bison,-1039223.33,130402.5782
Bison,-273495.3211,-358890.1506
Bison,-943385.795,485276.0516
Bison,-319497.1438,917577.8639
Bison,-552957.1419,842860.9055
Bison,-846581.0176,332699.6045
Bison,-1012692.996,77886.3688
Bison,-1099234.834,-17115.9395
Bison,-605616.2272,143970.9188
Bison,-1105550.424,57683.8701
Bison,-1048818.718,33256.5551
Bison,-628762.9404,-175487.3596
Bison,-979180.2128,965817.5617
Bison,-926344.4431,865520.1824
Bison,-249430.0767,341190.4814
Bison,-655304.4543,1720307.874
Bison,-466754.5242,697065.7359
Bison,-694775.6285,1778150.87
Bison,-1047228.434,41458.2243
Bison,-620592.5165,895683.5708
Bison,-942943.0665,855082.9927
