"Model","Mean_AUC_ratio","pval_pROC","Omission_rate_at_5%","AICc","delta_AICc","W_AICc","num_parameters"
"M_0.1_F_lqp_Set_1",1.46701197590418,0,0.0411622276029056,33162.9632030771,0,0.0588235294117647,26
"M_0.2_F_lqp_Set_1",1.47713001876309,0,0.0411622276029056,33240.4344788494,77.4712757722591,9.40169656395502e-19,29
"M_0.3_F_lqp_Set_1",1.47296462310778,0,0.0387409200968523,33192.5372275014,29.574024424277,2.52342802747331e-08,28
"M_0.4_F_lqp_Set_1",1.42147295583528,0,0.0484261501210654,33221.2381333971,58.2749303200035,1.58354940322539e-14,26
"M_0.5_F_lqp_Set_1",1.4301239759531,0,0.0460048426150121,33251.5208008587,88.5575977815824,4.5291698901957e-21,23
"M_0.6_F_lqp_Set_1",1.41330974697801,0,0.0484261501210654,33295.5112190795,132.548016002351,1.37525354064301e-30,19
"M_0.7_F_lqp_Set_1",1.41062899892384,0,0.0484261501210654,33325.3698583762,162.406655299128,4.9254984814356e-37,18
"M_0.8_F_lqp_Set_1",1.40591040599011,0,0.0508474576271186,33346.9636493784,184.000446301288,1.10869154449849e-41,17
"M_0.9_F_lqp_Set_1",1.40367850958883,0,0.0532687651331719,33345.7975032438,182.834300166724,2.20695582231871e-41,15
"M_1_F_lqp_Set_1",1.39792258601189,0,0.0508474576271186,33365.8228411837,202.859638106624,1.11301054030761e-45,17
"M_2_F_lqp_Set_1",1.36228810710533,0,0.0435835351089588,33550.3636008904,387.400397813268,1.0764017812934e-85,17
"M_3_F_lqp_Set_1",1.3518071408992,0,0.0460048426150121,33725.5071444853,562.543941408192,1.1667664466356e-123,15
"M_4_F_lqp_Set_1",1.33690425610087,0,0.0484261501210654,33821.4255919561,658.462388879008,2.07844696523593e-144,13
"M_5_F_lqp_Set_1",1.32473341633882,0,0.0460048426150121,33926.7899209581,763.826717880998,3.42827470700731e-167,12
"M_6_F_lqp_Set_1",1.32779113274827,0,0.0460048426150121,34009.3864050081,846.423201931037,5.30170689060441e-185,12
"M_8_F_lqp_Set_1",1.32345524723012,0,0.0484261501210654,34182.1290758692,1019.16587279204,2.45421481427992e-222,11
"M_10_F_lqp_Set_1",1.32140887960661,0,0.0484261501210654,34377.2392392579,1214.27603618078,2.1052749612447e-264,12
