"Model","Mean_AUC_ratio","pval_pROC","Omission_rate_at_5%","AICc","delta_AICc","W_AICc","num_parameters"
"M_0.1_F_lqp_Set_1",1.45825007500599,0,0.0436893203883495,25731.50838795,0,0.0588235294117647,43
"M_0.2_F_lqp_Set_1",1.45739638242709,0,0.0436893203883495,25796.9186488512,65.4102609011716,3.91041034116064e-16,43
"M_0.3_F_lqp_Set_1",1.44759508443742,0,0.0461165048543689,25823.377148552,91.8687606019848,7.49653972272105e-22,35
"M_0.4_F_lqp_Set_1",1.43636959239064,0,0.0461165048543689,25872.9360235711,141.42763562109,1.39075648880374e-32,32
"M_0.5_F_lqp_Set_1",1.4247159175405,0,0.0461165048543689,25859.3080863976,127.799698447594,1.363655710044e-29,33
"M_0.6_F_lqp_Set_1",1.44850136334647,0,0.0436893203883495,25931.8613859787,200.352998028684,2.5984718457577e-45,30
"M_0.7_F_lqp_Set_1",1.43021256772875,0,0.0533980582524272,25920.2802725867,188.771884636702,9.27498886166724e-43,26
"M_0.8_F_lqp_Set_1",1.43126755126815,0,0.0533980582524272,25986.6874041928,255.17901624279,3.87775774677894e-57,28
"M_0.9_F_lqp_Set_1",1.41368132358079,0,0.0412621359223301,25993.1847664323,261.676378482243,1.6728379831359e-58,26
"M_1_F_lqp_Set_1",1.39799732740896,0,0.0485436893203883,26014.1322621763,282.623874226258,5.32004735067219e-63,26
"M_2_F_lqp_Set_1",1.37877570208766,0,0.0485436893203883,26150.9959355063,419.487547556255,1.15968060683413e-92,24
"M_3_F_lqp_Set_1",1.36127573803409,0,0.0388349514563107,26298.6811159511,567.172728001067,1.15307012783821e-124,21
"M_4_F_lqp_Set_1",1.35079779682717,0,0.0388349514563107,26424.4910082425,692.9826202925,6.63385495505447e-152,19
"M_5_F_lqp_Set_1",1.34920101209286,0,0.0388349514563107,26510.5136715982,779.005283648214,1.73417123298236e-170,14
"M_6_F_lqp_Set_1",1.3436841548747,0,0.0388349514563107,26594.4572034234,862.948815473381,1.36749070405113e-188,15
"M_8_F_lqp_Set_1",1.34506174652067,0,0.0388349514563107,26765.1383427637,1033.62995481374,1.77450469023684e-225,11
"M_10_F_lqp_Set_1",1.34385252612458,0,0.0388349514563107,26891.6519478392,1160.14355988919,1.19681455517015e-252,10
