Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.55095E-11,0.000000009,0.000000418,0.999816732,0,0
2.61764E-10,0.000000035,0.000001278,0.999725099,0,0
7.02513E-10,0.00000015,0.00000343,0.999541831,0,0
1.12909E-9,0.000000263,0.000005513,0.999450197,0,0
2.13682E-9,0.000001007,0.000010433,0.999083662,0,0
6.19259E-9,0.000002726,0.000030236,0.998717126,0,0
1.44562E-8,0.000011427,0.000070583,0.997984056,0,0
2.27267E-8,0.000025216,0.000110963,0.997342619,0,0
4.04212E-8,0.000053393,0.000197347,0.996609548,0,0
5.56019E-8,0.000105503,0.000271453,0.995601576,0,0
1.0838E-7,0.00025506,0.000529052,0.993952167,0,0
1.53954E-7,0.000511484,0.000751437,0.992119491,0,0
2.21869E-7,0.001008285,0.001082745,0.989828645,0,0
2.86799E-7,0.002525399,0.001399385,0.984422249,0,0
3.56301E-7,0.005001909,0.001738213,0.977458078,0,0
5.01822E-7,0.010013965,0.002447269,0.966736919,0,0
8.48755E-7,0.025044949,0.00413568,0.946485843,0,0
1.10321E-6,0.050098767,0.005372213,0.922844314,0,0
1.61053E-6,0.10011895,0.007832956,0.88903143,0,0
2.54901E-6,0.200186837,0.012369036,0.844222487,0,0
3.40777E-6,0.300084961,0.016501583,0.813158618,0,0
4.3135E-6,0.400116603,0.020841452,0.789058921,0,0
5.08842E-6,0.500273084,0.02453936,0.769540915,0,0
5.82436E-6,0.600187563,0.028038293,0.752771923,0,0
6.63775E-6,0.70028067,0.03189086,0.73811051,0,0
6.96254E-6,0.750664417,0.033424907,0.731329607,0,0
7.26483E-6,0.800438728,0.034850539,0.724915239,0,0
8.00438E-6,0.900541359,0.038329468,0.712911207,0,0
8.55225E-6,1.000813357,0.040898564,0.701823513,0,0
9.15634E-6,1.100788596,0.04372338,0.69146889,0,0
9.71879E-6,1.200280611,0.046346024,0.681847338,0.00094518,0
1.04578E-5,1.300918092,0.049780798,0.672683955,0.00094518,0
1.09551E-5,1.400732262,0.052085466,0.664162009,0.00094518,0
