Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.1023E-11,0.000000001,0.000000051,0.999627838,0,0
1.31102E-11,0.000000003,0.000000061,0.999534797,0,0
8.07441E-11,0.000000017,0.000000373,0.999255675,0,0
1.04906E-10,0.000000028,0.000000485,0.999162635,0,0
2.56316E-10,0.000000115,0.000001184,0.998697432,0,0
5.50437E-10,0.000000277,0.000002543,0.99832527,0,0
2.13785E-9,0.000001134,0.000009875,0.997673986,0,0
3.24385E-9,0.000002585,0.000014984,0.997208783,0,0
6.37942E-9,0.000010602,0.000029466,0.995720134,0,0
1.23608E-8,0.00002523,0.000057093,0.994324525,0,0
2.31234E-8,0.000051361,0.000106798,0.993021958,0,0
3.5876E-8,0.000102537,0.000165688,0.991440268,0,0
6.7827E-8,0.000252443,0.000313203,0.988835132,0,0
9.61012E-8,0.000502853,0.000443706,0.986043915,0,0
1.22776E-7,0.001011815,0.000566796,0.981764049,0,0
1.76086E-7,0.002511206,0.000812704,0.972366952,0,0
2.54005E-7,0.005009736,0.001171906,0.961667287,0,0
4.03928E-7,0.010001315,0.001862321,0.947804243,0,0
6.23368E-7,0.025050346,0.002871146,0.920915519,0,0
9.60547E-7,0.050061145,0.00441729,0.8915147,0,0
1.53049E-6,0.100015601,0.007019878,0.85355415,0,0
2.69147E-6,0.20001916,0.01227959,0.807964272,0,0
3.81895E-6,0.30005901,0.017334406,0.779121697,0,0
4.80699E-6,0.400072525,0.021721777,0.757629326,0,0
5.62537E-6,0.500329584,0.025326187,0.739672497,0,0
6.34315E-6,0.600437716,0.028465749,0.724134723,0,0
7.09046E-6,0.700681044,0.03171305,0.710178638,0.001153403,0
7.4265E-6,0.750718623,0.033166212,0.703758839,0.001153403,0
7.70637E-6,0.800007752,0.034373128,0.697711202,0.001153403,0
8.41723E-6,0.900819159,0.03742516,0.686081131,0.002306805,0
9.14782E-6,1.000071731,0.04054183,0.675567547,0.002306805,0
9.92228E-6,1.100023207,0.043823692,0.665798288,0.002306805,0
1.07085E-5,1.200196417,0.047132561,0.656773353,0.003460208,0
1.13669E-5,1.300557957,0.04988604,0.648306662,0.003460208,0
1.20728E-5,1.401069095,0.052820254,0.640305173,0.003460208,0
1.2697E-5,1.50009679,0.055400055,0.632861928,0.003460208,0
1.45221E-5,1.75118699,0.062862547,0.615649423,0.00461361,0
1.58802E-5,2.001105285,0.06833965,0.60029773,0.006920415,0
1.72572E-5,2.251013283,0.073827984,0.586248604,0.006920415,0
1.85554E-5,2.500009082,0.078943495,0.573315966,0.006920415,0
1.99433E-5,2.751926637,0.084350165,0.561127652,0.006920415,0
2.12313E-5,3.001667469,0.089311222,0.549869743,0.006920415,0
2.26977E-5,3.252157641,0.094894612,0.539263119,0.006920415,0
2.42199E-5,3.500111338,0.100617972,0.529400819,0.006920415,0
2.56293E-5,3.751772519,0.105853629,0.520003722,0.006920415,0
2.71367E-5,4.002153317,0.111385996,0.511164868,0.006920415,0
2.86821E-5,4.250647953,0.116986962,0.502884258,0.008073818,0
