X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-426917.14,351941.3605,train,2.552503771442824E-4,54.826298628959144,0.7345042250254982
-882963.896,172856.2271,train,2.8123035138239447E-4,61.28843750024263,0.7680273066150372
-412501.1716,-110520.6856,train,4.441656708195739E-4,88.58452925455161,0.9005070004371238
-699823.2884,926930.7903,train,2.0375203563256894E-4,42.16024066658871,0.6530574621709374
-1008599.689,785677.8794,train,5.482371738668356E-4,93.60594775149197,0.942061473463046
-1029111.849,-156365.4679,train,2.4024503381541001E-4,51.19972220413668,0.7129778571017493
-1024126.168,118383.7717,train,5.442211995672451E-4,93.46562798237679,0.9408398837338897
-565852.4799,-253709.1959,train,1.3055349263954179E-4,22.848739510740177,0.49251707519974497
-1021849.606,83899.4048,train,7.355228991006391E-4,97.88660796099613,0.9781032688806344
-538501.8128,802707.2438,train,2.4087022154313628E-4,51.46895192165898,0.7139086413904077
-852966.4777,-96899.9365,train,1.1444894335506443E-4,19.476680922389743,0.44822826300174323
-607526.4349,-259479.2219,train,1.476063853928347E-4,27.060100517239924,0.5355450540863921
-954127.6586,777999.3327,train,3.0917930488894864E-4,69.27509712317233,0.7993804064526762
-1093050.976,-49987.7351,train,2.548106814355506E-4,54.72987290085268,0.7338970214309606
-342819.3317,358654.0767,train,2.2993353261753944E-4,48.963455557448036,0.6971817192466705
-86170.76,575047.3424,train,2.8883830680023444E-4,63.72593081489745,0.7770176898791287
-909978.9545,49794.5614,train,9.220120073836401E-5,15.254121213768272,0.3806176012081437
-433581.2715,896008.1518,train,3.0226410180787073E-4,67.4680334121542,0.7920414949544521
-1127159.195,1344235.897,train,2.1648340757537577E-4,45.48237870647636,0.6752637950167297
-681922.0755,1720355.06,train,3.092944673233578E-5,5.332360934921547,0.14844765434508111
-702861.2627,1786887.645,train,2.9135088109633188E-5,4.981018096340821,0.14047184277830205
-63032.5633,556477.6515,train,1.6311521697835773E-4,30.759611414969676,0.5715010700198275
-330710.6221,648700.814,train,1.7202494904427487E-4,33.17254224173937,0.5908844548474605
-1005621.091,-126486.7878,train,3.6718967106618935E-4,81.77108653040432,0.8515843175216873
-483061.0053,759037.8348,train,3.9743120996031987E-4,85.02658328220438,0.8731637696626899
-692217.9924,1774326.692,train,3.346298650957697E-5,5.832192671248979,0.15958321870987158
-847574.174,337374.9147,train,2.8202332717561224E-4,61.53923949124809,0.7689810484024727
-772451.4642,887474.9718,train,2.4888989944087694E-4,53.46559039961581,0.7255840930278313
-1290213.932,1425069.5,train,1.2324450126756313E-4,21.168499027880593,0.4728753670656247
-1117630.334,-14978.1553,train,3.024158697776715E-4,67.51384966320309,0.7922054081573859
-975785.9263,720529.7512,train,3.217728482987669E-4,72.69375678689423,0.8120867083499734
-491393.9003,666372.7922,train,4.806209606574209E-4,91.04315989548846,0.9176742946391359
-1009331.138,75415.4424,train,7.044715377897071E-4,97.27345820606467,0.9742698083057342
-692105.1947,-249424.4364,train,3.073884364362334E-4,68.83367012772545,0.7975050346664238
-508574.9564,90323.7438,train,2.1080187274095794E-4,43.817615387137614,0.6655351950427086
-471048.5568,765746.5108,train,3.028140779415453E-4,67.6475256766667,0.7926348689878608
-856822.9867,328813.3237,train,2.465973100828667E-4,52.8806761797237,0.7222959330577898
-663750.4308,1734969.471,train,3.1794688351888037E-5,5.5178832535051106,0.15226710845369307
-907218.8056,-53902.8814,train,2.9661757859572975E-4,65.72467346642267,0.7858503343170439
