Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.00783E-9,0.000000301,0.000016591,1,0,0
3.20286E-8,0.000003504,0.000176655,0.999908366,0,0
4.97848E-8,0.00001317,0.000274577,0.999725099,0,0
1.01332E-7,0.000029792,0.000558796,0.999541831,0,0
1.13916E-7,0.000052463,0.000628164,0.999358563,0,0
1.60252E-7,0.000108654,0.000883564,0.998992028,0,0
2.16154E-7,0.000253754,0.0011916,0.998258957,0,0
3.95941E-7,0.000504735,0.002181639,0.997525887,0,0
5.25764E-7,0.001010434,0.002895925,0.996517914,0,0
6.35635E-7,0.002550902,0.003500038,0.994135435,0,0
7.21825E-7,0.005059793,0.003973692,0.990744983,0,0
8.84381E-7,0.010033269,0.00486639,0.984972052,0,0
1.25533E-6,0.025010724,0.006900516,0.972234949,0,0
1.66904E-6,0.05013111,0.009164223,0.956565564,0,0
2.21594E-6,0.10014627,0.012148808,0.933015669,0,0
3.24526E-6,0.200286134,0.017741656,0.899111152,0,0
4.12762E-6,0.300273306,0.022510809,0.874461651,0,0
4.66091E-6,0.400369137,0.02538201,0.853569138,0,0
5.16166E-6,0.500201745,0.028070374,0.83496747,0,0
5.7531E-6,0.600502363,0.031236019,0.818106845,0,0
6.39865E-6,0.700307148,0.034679549,0.803078897,0,0
6.72498E-6,0.750206255,0.036415568,0.796114726,0,0
7.07139E-6,0.800613731,0.038255044,0.789425456,0,0
7.67472E-6,0.900700782,0.041450412,0.776963255,0,0
8.17889E-6,1.00048418,0.044112456,0.765417392,0,0
8.74286E-6,1.100215725,0.047081452,0.7546046,0,0
9.23321E-6,1.200797175,0.049655396,0.744341611,0,0
9.72246E-6,1.300488818,0.052216652,0.734720059,0,0
1.01892E-5,1.400247004,0.054653639,0.725556676,0,0
1.06263E-5,1.500231902,0.056930255,0.716759828,0,0
1.18744E-5,1.7510542,0.063400342,0.696325483,0,0
1.3165E-5,2.000719932,0.070044603,0.678090351,0.00094518,0
1.43884E-5,2.251182389,0.07629889,0.661412994,0.00094518,0
1.57894E-5,2.500452289,0.083409972,0.646293412,0.001890359,0
1.69333E-5,2.751370364,0.089174999,0.632273435,0.001890359,0
1.81371E-5,3.000832107,0.095202996,0.619261431,0.002835539,0
1.91952E-5,3.250917478,0.100468667,0.606982498,0.002835539,0
2.06676E-5,3.501607881,0.107744622,0.595436635,0.002835539,0
2.19011E-5,3.752001877,0.113794908,0.584623843,0.010396975,0
2.30761E-5,4.001111247,0.119520363,0.574452488,0.014177694,0
2.40981E-5,4.25102187,0.124469812,0.564739302,0.017958412,0
2.50163E-5,4.501810587,0.128893239,0.555392651,0.028355388,0
2.61091E-5,4.750160134,0.134128231,0.546504169,0.037807183,0
2.72579E-5,5.000986909,0.13959795,0.537890589,0.042533081,0
2.82552E-5,5.250452323,0.144317837,0.529643544,0.047258979,0
2.92653E-5,5.501167363,0.149072204,0.521671401,0.050094518,0
3.05055E-5,5.752624874,0.154873746,0.513974159,0.052930057,0
3.19613E-5,6.003022518,0.161633144,0.506643453,0.054820416,0
3.33945E-5,6.251457834,0.168234803,0.499679282,0.057655955,0
3.42478E-5,6.501725,0.172140521,0.492898378,0.060491493,0
3.5127E-5,6.750990109,0.176145545,0.486300742,0.062381853,0
3.65411E-5,7.001679603,0.18254704,0.479886374,0.062381853,0
3.79023E-5,7.251435586,0.188661721,0.473746907,0.064272212,0
3.93708E-5,7.502644736,0.19520742,0.467790708,0.065217391,0
