Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
9.82831E-11,0.00000001,0.000000277,0.999752414,0,0
1.97023E-10,0.00000003,0.000000554,0.999628621,0,0
2.99573E-10,0.000000114,0.000000843,0.999257242,0,0
2.45282E-9,0.000000485,0.000006903,0.998885863,0,0
5.14137E-9,0.00000131,0.00001447,0.998638277,0,0
1.55072E-8,0.000004026,0.000043641,0.998390691,0,0
2.78636E-8,0.000012581,0.000078413,0.997895519,0,0
4.51392E-8,0.000025762,0.000127023,0.99752414,0,0
5.84048E-8,0.000053477,0.000164347,0.996905175,0,0
7.92743E-8,0.000104132,0.000223059,0.996038623,0,0
1.21538E-7,0.000250562,0.00034194,0.994305521,0,0
1.51623E-7,0.000508469,0.000426544,0.991953454,0,0
2.11603E-7,0.001010221,0.00059518,0.988487249,0,0
3.26397E-7,0.002520754,0.000917767,0.981678633,0,0
4.1594E-7,0.005021545,0.001169251,0.973384501,0,0
5.67768E-7,0.010048082,0.001595372,0.96063382,0,0
9.02619E-7,0.025022923,0.002533889,0.935503838,0,0
1.24506E-6,0.050014472,0.003491865,0.906412478,0,0
1.72047E-6,0.100031764,0.004818757,0.864446645,0,0
2.76752E-6,0.200171246,0.007728698,0.807873236,0,0
3.83877E-6,0.300169157,0.010688326,0.770611538,0,0
4.8546E-6,0.400020348,0.013478602,0.742139143,0,0
5.92146E-6,0.500473291,0.016392148,0.719113642,0,0
6.88279E-6,0.600607816,0.019002782,0.699801931,0,0
7.7054E-6,0.700616767,0.021225735,0.682842288,0,0
8.16127E-6,0.750497287,0.022453306,0.675043328,0,0
8.5087E-6,0.800495634,0.023386787,0.667615746,0,0
9.29159E-6,0.900494065,0.025483786,0.653750928,0,0
1.00321E-5,1.00085233,0.027459054,0.640876455,0,0
1.09667E-5,1.100713876,0.029940597,0.629116118,0.001930502,0
1.19172E-5,1.200680009,0.032451273,0.618346125,0.001930502,0
1.27157E-5,1.300491552,0.034550409,0.608318891,0.003861004,0
1.34599E-5,1.400106068,0.036498859,0.598910621,0.003861004,0
1.40986E-5,1.500627371,0.038164683,0.589873731,0.003861004,0
1.61557E-5,1.750169753,0.043491143,0.569447883,0.003861004,0
1.79106E-5,2.000077792,0.047988503,0.551374103,0.003861004,0
1.95439E-5,2.25010921,0.052136419,0.534785838,0.005791506,0
2.1378E-5,2.501985385,0.056751501,0.519559297,0.005791506,0
2.26576E-5,2.750574436,0.059944839,0.505570686,0.005791506,0
2.44445E-5,3.001642923,0.06436825,0.492324833,0.007722008,0
2.63074E-5,3.250225014,0.068935354,0.480193117,0.007722008,0
2.83323E-5,3.502534362,0.073849583,0.468804159,0.011583012,0
2.9842E-5,3.752802459,0.077479835,0.45815796,0.011583012,0
3.17767E-5,4.002665213,0.082090587,0.448130725,0.013513514,0
3.37732E-5,4.251260029,0.08680055,0.438722456,0.017374517,0
3.5953E-5,4.502675672,0.091888,0.429809359,0.025096525,0
3.79533E-5,4.750030528,0.096507132,0.421515227,0.028957529,0
4.00262E-5,5.002990387,0.101244393,0.41346868,0.030888031,0
4.17948E-5,5.253170615,0.105247209,0.405917306,0.034749035,0
4.35178E-5,5.504262216,0.109112591,0.398613518,0.036679537,0
4.52541E-5,5.752607088,0.112974238,0.391681109,0.038610039,0
4.79133E-5,6.004139413,0.11882384,0.384996286,0.042471042,0
5.02086E-5,6.25039772,0.123811374,0.378806635,0.046332046,0
5.23702E-5,6.501495847,0.128457123,0.372740777,0.054054054,0
5.41603E-5,6.752183384,0.132267101,0.366922506,0.061776062,0
5.65218E-5,7.001320575,0.137242818,0.36135182,0.063706564,0
5.91665E-5,7.255645569,0.142747844,0.355904927,0.065637066,0
6.2426E-5,7.505321627,0.149436625,0.350829413,0.067567568,0
6.48326E-5,7.753042768,0.154308574,0.346001486,0.069498069,0
6.7338E-5,8.00317787,0.159321632,0.341297351,0.069498069,0
7.03157E-5,8.2501198,0.165202972,0.336840802,0.071428571,0
7.40687E-5,8.502466753,0.172499494,0.332508047,0.073359073,0
7.63286E-5,8.750866745,0.176831886,0.328422877,0.077220077,0
7.9502E-5,9.007846391,0.182839557,0.324337707,0.079150579,0
8.28562E-5,9.251662458,0.189095001,0.320623917,0.084942085,0
8.62084E-5,9.504879552,0.195251558,0.316910126,0.088803089,0
8.97595E-5,9.750837347,0.201672436,0.313443922,0.092664093,0
9.31529E-5,10.007806336,0.207713054,0.309977717,0.096525097,0
9.63444E-5,10.254660275,0.213311382,0.306759099,0.098455598,0
9.93449E-5,10.509392356,0.218503181,0.30354048,0.106177606,0
1.02201E-4,10.750974441,0.223381605,0.300569448,0.106177606,0
1.0459E-4,11.009672856,0.227416159,0.297474622,0.106177606,0
1.07591E-4,11.254539623,0.232423674,0.294627383,0.11003861,0
1.11151E-4,11.505436476,0.238281962,0.291780144,0.111969112,0
