X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-641964.6407,995446.7775,train,5.073974935225843E-4,61.488919756338554,0.6006006742707674
-906279.8783,-278305.692,train,8.671486198091706E-4,86.04685635322592,0.7198835833602424
-748350.2392,563714.2054,train,6.024506115382507E-4,71.16858838854559,0.6409936623033338
-207187.4268,750734.2609,train,2.5514431281163376E-4,31.353245469458276,0.4305771357239101
-249651.2885,-373874.4715,train,2.0041083481523456E-4,22.836886144100582,0.37262854586900157
-803996.0937,479543.6486,train,4.0266401464360556E-4,50.954189113284706,0.5440793556585872
-790673.2054,882975.2391,train,2.998683646206783E-4,37.35262147631692,0.4705385250800231
-120729.8306,715153.6093,train,5.016997710264577E-4,60.80384167990176,0.5978887031182409
-731583.8369,-250679.7749,train,8.987430625569961E-4,87.0621785386084,0.7270429362580301
-515702.2813,-28866.6903,train,2.9653205465998857E-4,36.77443141979842,0.4677521160348359
-963188.7139,293579.8762,train,7.690761970431541E-5,8.849091951926184,0.18562065152101184
-1046210.918,130695.8065,train,3.739648025097001E-4,47.51597681598012,0.5256862477194176
22306.7576,510114.0591,train,3.115522043234579E-4,39.19618950779963,0.48007075204520916
-1134250.801,1075750.551,train,9.694268004223855E-5,10.605983695540639,0.22318411881359382
-667659.6359,1761358.597,train,4.6173807759748785E-5,5.91008240759812,0.12037186097427927
-924206.892,-44733.9462,train,2.479283345174208E-4,30.011662487150552,0.423557472055753
-848865.6709,333463.3865,train,3.0243020077103827E-4,37.82819627824219,0.4726583887266269
-553185.1797,804199.7926,train,7.532193281254117E-4,80.32409590009937,0.6906223173691565
-1001811.628,821677.2898,train,9.467014975110999E-4,88.31319556422577,0.7372371441005613
-334920.4871,269826.6544,train,3.533573658794498E-4,44.8235002736344,0.5115363899254274
-1063728.989,854267.6186,train,9.808981294055372E-5,10.683431634714076,0.22523025555535386
-811365.2338,129203.3991,train,4.948247389551339E-4,60.02399026021146,0.5945669270923789
-983194.3174,779385.5438,train,0.003054262273508446,99.56344490589272,0.9005156500512559
-603177.8253,-181783.1658,train,3.1618085611685075E-4,40.01945087002806,0.4837527764186712
-823482.2241,-180330.2486,train,0.001538025571632293,96.89795720846408,0.8200857581354022
-845286.3132,788267.6904,train,3.812957207439665E-4,48.66265771203112,0.5305242649804396
-939715.815,883889.8808,train,0.0012219969806355928,93.47669045085188,0.7836246491737761
-57558.6468,487351.8555,train,2.095734858645698E-4,24.245962072444605,0.3831376176543272
-708491.2941,1858893.5,train,7.242304772102351E-5,8.427681715014897,0.17670955812642447
-439228.048,892149.1729,train,4.3483557409248986E-4,54.103687508000625,0.5630726698392244
-561761.0547,643141.9206,train,6.803399133224318E-4,76.3486447025634,0.668468485963393
-911984.1692,-287850.6544,train,0.001252951808309849,94.06581623683154,0.7878361580218785
