Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.19684E-10,0.000000092,0.000002805,1,0,0
1.03254E-9,0.000000195,0.000003149,0.999876207,0,0
4.00716E-9,0.000000596,0.000012221,0.999752414,0,0
7.0764E-9,0.000001304,0.000021581,0.999628621,0,0
2.17547E-8,0.000003479,0.000066344,0.999504828,0,0
3.06468E-8,0.000011224,0.000093461,0.999133449,0,0
5.5494E-8,0.00002915,0.000169229,0.998638277,0,0
7.34632E-8,0.00005014,0.00022402,0.998266898,0,0
1.09605E-7,0.000105263,0.000334213,0.99752414,0,0
1.57357E-7,0.000257483,0.000479786,0.996162416,0,0
2.27004E-7,0.000503048,0.000692067,0.994553107,0,0
2.86328E-7,0.001020646,0.000872849,0.992077247,0,0
3.70831E-7,0.002511622,0.001130307,0.986506561,0,0
4.49404E-7,0.005027008,0.001369635,0.978955187,0,0
6.11531E-7,0.01001041,0.001863284,0.967318643,0,0
9.7496E-7,0.025097438,0.002968976,0.943674177,0,0
1.33777E-6,0.050058365,0.004071559,0.916811092,0,0
1.9514E-6,0.100139008,0.00593363,0.878682842,0,0
3.17264E-6,0.200097545,0.009629113,0.829537014,0,0
4.22825E-6,0.300066677,0.012812352,0.795989106,0,0
5.04017E-6,0.400165663,0.015253778,0.769249814,0,0
5.92797E-6,0.500300372,0.017916434,0.746471899,0,0
6.9826E-6,0.600098603,0.02107009,0.727283981,0,0
7.93315E-6,0.700788673,0.023903853,0.710571924,0,0
8.34413E-6,0.750479576,0.02512652,0.70302055,0,0
8.72078E-6,0.800796719,0.026245711,0.695716762,0,0
9.43171E-6,0.900545495,0.028354682,0.68209953,0,0
1.01199E-5,1.000533593,0.030391891,0.669472642,0,0
1.09377E-5,1.10068751,0.032807214,0.657712305,0,0
1.14157E-5,1.200312494,0.034216026,0.646694726,0,0
1.22003E-5,1.300529067,0.036524138,0.63617232,0,0
1.27461E-5,1.400210328,0.038126738,0.626268878,0.001709402,0
1.35135E-5,1.501217242,0.040375181,0.616736816,0.001709402,0
1.51979E-5,1.751123439,0.045292163,0.595073038,0.003418803,0
1.69935E-5,2.000566143,0.050506126,0.57588512,0.005128205,0
1.87383E-5,2.250348871,0.055545077,0.558554098,0.005128205,0
2.03882E-5,2.501955575,0.060285447,0.542584798,0.005128205,0
2.17814E-5,2.750733014,0.064269692,0.527977222,0.005128205,0
2.34463E-5,3.001452289,0.069009021,0.514236197,0.005128205,0
2.53397E-5,3.251263115,0.074369438,0.501485516,0.01025641,0
2.69744E-5,3.502549564,0.078972435,0.489601386,0.01025641,0
2.87693E-5,3.750429557,0.084000538,0.478583808,0.011965812,0
3.08175E-5,4.002968945,0.089704376,0.468061401,0.015384615,0
3.28958E-5,4.251005985,0.095456062,0.458405546,0.018803419,0
3.51207E-5,4.502911353,0.101572967,0.449244863,0.022222222,0
3.68944E-5,4.751148917,0.106419737,0.440703144,0.027350427,0
3.8628E-5,5.000234838,0.111131582,0.432532805,0.034188034,0
4.04426E-5,5.252722046,0.116036984,0.424610052,0.039316239,0
4.24679E-5,5.501320122,0.121480204,0.417182471,0.039316239,0
4.42261E-5,5.753084564,0.126178426,0.410002476,0.042735043,0
4.62597E-5,6.001652214,0.131580872,0.40319386,0.044444444,0
4.84511E-5,6.251403559,0.1373655,0.39663283,0.046153846,0
5.03734E-5,6.503150301,0.142407978,0.390319386,0.051282051,0
5.27587E-5,6.750645105,0.148624017,0.384377321,0.052991453,0
5.50086E-5,7.003476327,0.154445754,0.378559049,0.054700855,0
5.78028E-5,7.251699392,0.161620783,0.373112156,0.058119658,0
6.00007E-5,7.50514516,0.167221493,0.367789057,0.063247863,0
6.23749E-5,7.750659537,0.173229659,0.362837336,0.063247863,0
6.56257E-5,8.000574089,0.181385974,0.358009408,0.068376068,0
6.84362E-5,8.255603695,0.188372513,0.353305274,0.073504274,0
7.1107E-5,8.506689831,0.19495666,0.348848725,0.075213675,0
7.39487E-5,8.752489473,0.201903456,0.344639762,0.076923077,0
7.61305E-5,9.000735549,0.207196434,0.340554593,0.076923077,0
7.88755E-5,9.256424607,0.213805738,0.336469423,0.08034188,0
8.15692E-5,9.50459016,0.220237944,0.33263184,0.085470085,0
8.52704E-5,9.755630423,0.228990197,0.328918049,0.088888889,0
8.81305E-5,10.007077939,0.235686072,0.325328051,0.094017094,0
9.05696E-5,10.258085282,0.241350474,0.321861847,0.097435897,0
9.40306E-5,10.507063694,0.249316204,0.318519436,0.102564103,0
9.71039E-5,10.755789772,0.256319205,0.315300817,0.102564103,0
1.00715E-4,11.003082329,0.264464651,0.312205992,0.107692308,0
1.03401E-4,11.258734247,0.270465107,0.309111166,0.107692308,0
1.06148E-4,11.510119094,0.276550486,0.306140134,0.114529915,0
1.10489E-4,11.758989707,0.286065903,0.303292894,0.114529915,0
1.14167E-4,12.006399643,0.294029908,0.300569448,0.116239316,0
1.16829E-4,12.260277955,0.29973855,0.297846001,0.117948718,0
1.19955E-4,12.509276715,0.306381501,0.295246348,0.117948718,0
1.22463E-4,12.751673089,0.311667372,0.292770488,0.117948718,0
1.2438E-4,13.010341209,0.315679923,0.290170834,0.117948718,0
1.2652E-4,13.260856816,0.320131004,0.287694974,0.117948718,0
1.29156E-4,13.503561262,0.325573979,0.285342907,0.117948718,0
1.31251E-4,13.750825045,0.329870403,0.282990839,0.121367521,0
1.33027E-4,14.002130263,0.333490733,0.280638772,0.123076923,0
1.35745E-4,14.257169592,0.338991821,0.278286705,0.123076923,0
1.37995E-4,14.503608661,0.343512772,0.27605843,0.123076923,0
1.40494E-4,14.754627373,0.348495945,0.273830156,0.123076923,0
1.42936E-4,15.010226009,0.353330781,0.271601882,0.124786325,0
1.45145E-4,15.255476064,0.357673578,0.2694974,0.126495726,0
1.47214E-4,15.504047007,0.361712633,0.267392919,0.126495726,0
1.51168E-4,15.758048767,0.369362856,0.265288438,0.126495726,0
1.52567E-4,16.001284956,0.372049007,0.263307749,0.131623932,0
1.5512E-4,16.263357026,0.376919057,0.261203268,0.135042735,0
1.56996E-4,16.513219845,0.380473115,0.25922258,0.138461538,0
1.58751E-4,16.750248411,0.383781026,0.257365685,0.141880342,0
1.60186E-4,17.005460627,0.386471853,0.255384996,0.147008547,0
1.61481E-4,17.263033584,0.388890388,0.253404308,0.148717949,0
1.63713E-4,17.507097496,0.393035075,0.251547413,0.15042735,0
1.65201E-4,17.753729074,0.395783109,0.249690517,0.155555556,0
1.66773E-4,18.002890442,0.398672805,0.247833622,0.157264957,0
1.69341E-4,18.25515254,0.403364704,0.245976727,0.158974359,0
1.71864E-4,18.511176252,0.40793741,0.244119832,0.162393162,0
1.74642E-4,18.754052395,0.412933653,0.242386729,0.164102564,0
1.76561E-4,19.017516909,0.416359466,0.240529834,0.165811966,0
1.77953E-4,19.265309602,0.418830379,0.238796732,0.170940171,0
1.80182E-4,19.516114966,0.422767574,0.23706363,0.174358974,0
1.81112E-4,19.75088023,0.424402516,0.23545432,0.177777778,0
1.83839E-4,20.006618592,0.429169731,0.233721218,0.177777778,0
1.85549E-4,20.265344854,0.432139421,0.231988116,0.179487179,0
1.87011E-4,20.507661172,0.434665321,0.230378807,0.182905983,0
1.88291E-4,20.751891158,0.436868072,0.228769497,0.188034188,0
1.90236E-4,21.017313313,0.440198656,0.227036395,0.194871795,0
1.92403E-4,21.266002866,0.443886082,0.225427086,0.198290598,0
1.94637E-4,21.518049807,0.447663257,0.223817777,0.201709402,0
1.95726E-4,21.752312248,0.449493388,0.22233226,0.203418803,0
1.97337E-4,22.008019336,0.452191159,0.220722951,0.205128205,0
1.98862E-4,22.265745854,0.454734373,0.219113642,0.205128205,0
2.0031E-4,22.505326443,0.457136459,0.217628126,0.208547009,0
2.01789E-4,22.766830671,0.45957887,0.216018817,0.211965812,0
2.04898E-4,23.010794906,0.464679288,0.2145333,0.213675214,0
2.06508E-4,23.25767113,0.467301788,0.213047784,0.213675214,0
2.0849E-4,23.506958737,0.470511514,0.211562268,0.218803419,0
2.10108E-4,23.758126189,0.473117928,0.210076752,0.222222222,0
2.11637E-4,24.011416931,0.47556921,0.208591235,0.222222222,0
2.13668E-4,24.266428452,0.478807906,0.207105719,0.222222222,0
2.14903E-4,24.50194348,0.480766474,0.205743996,0.223931624,0
2.16678E-4,24.761141696,0.483569453,0.20425848,0.225641026,0
2.17581E-4,25.02158718,0.484990248,0.202772964,0.225641026,0
2.19232E-4,25.262023531,0.487576593,0.20141124,0.227350427,0
2.2043E-4,25.503755029,0.489446038,0.200049517,0.230769231,0
2.21964E-4,25.769417495,0.491828415,0.198564001,0.234188034,0
2.23842E-4,26.015039197,0.494731041,0.197202278,0.234188034,0
2.256E-4,26.262437983,0.497431966,0.195840555,0.237606838,0
2.27652E-4,26.51184247,0.500568108,0.194478831,0.239316239,0
2.29543E-4,26.7633791,0.503439204,0.193117108,0.239316239,0
2.30981E-4,27.016767708,0.505612719,0.191755385,0.244444444,0
2.32605E-4,27.271904924,0.50805547,0.190393662,0.246153846,0
2.34605E-4,27.505792359,0.51104697,0.189155732,0.247863248,0
2.36659E-4,27.765192669,0.514099529,0.187794008,0.24957265,0
2.3771E-4,28.002355825,0.515655132,0.186556078,0.24957265,0
2.39525E-4,28.264737012,0.518329365,0.185194355,0.252991453,0
2.42337E-4,28.505750272,0.522441788,0.183956425,0.254700855,0
2.44087E-4,28.773286511,0.524984155,0.182594702,0.25982906,0
2.45372E-4,29.018023014,0.526842193,0.181356771,0.261538462,0
2.47173E-4,29.264367244,0.529433484,0.180118841,0.263247863,0
2.48503E-4,29.512329574,0.531338498,0.178880911,0.264957265,0
2.49279E-4,29.761165301,0.532445709,0.177642981,0.268376068,0
2.50422E-4,30.011037339,0.534072541,0.176405051,0.27008547,0
2.52164E-4,30.262415792,0.53654139,0.175167121,0.275213675,0
2.53669E-4,30.515344726,0.53866444,0.17392919,0.278632479,0
2.55482E-4,30.769870495,0.541208645,0.17269126,0.28034188,0
2.56767E-4,31.000650506,0.543002631,0.171577123,0.283760684,0
2.58715E-4,31.258530586,0.545708823,0.170339193,0.287179487,0
2.61821E-4,31.518838458,0.549992403,0.169101263,0.292307692,0
2.63058E-4,31.755223993,0.5516876,0.167987126,0.292307692,0
2.6541E-4,32.019707304,0.554891387,0.166749195,0.297435897,0
2.67855E-4,32.259971793,0.558198179,0.165635058,0.302564103,0
2.69511E-4,32.501929668,0.560423404,0.164520921,0.304273504,0
2.71802E-4,32.772858137,0.56348428,0.163282991,0.304273504,0
2.72774E-4,33.017837726,0.564775757,0.162168854,0.304273504,0
2.74149E-4,33.264112674,0.566596913,0.161054717,0.307692308,0
2.75632E-4,33.511850915,0.568552632,0.159940579,0.311111111,0
2.77149E-4,33.760600549,0.570544123,0.158826442,0.312820513,0
2.79158E-4,34.01102032,0.57316736,0.157712305,0.314529915,0
2.81452E-4,34.263475784,0.576143708,0.156598168,0.314529915,0
2.82175E-4,34.517195088,0.577077074,0.155484031,0.316239316,0
2.83894E-4,34.772038178,0.57928837,0.154369894,0.31965812,0
2.86111E-4,35.000346769,0.582123149,0.153379549,0.321367521,0
2.87657E-4,35.258507174,0.584089069,0.152265412,0.323076923,0
2.89587E-4,35.518325885,0.586529559,0.151151275,0.326495726,0
2.91092E-4,35.75065009,0.588423496,0.150160931,0.32991453,0
2.93783E-4,36.013793155,0.591787254,0.149046794,0.331623932,0
2.95644E-4,36.279240858,0.594097892,0.147932657,0.333333333,0
2.96767E-4,36.516188709,0.595485171,0.146942312,0.335042735,0
2.98173E-4,36.754090937,0.597216862,0.145951968,0.338461538,0
2.99887E-4,37.023021946,0.599315823,0.144837831,0.341880342,0
3.00637E-4,37.263281604,0.600231528,0.143847487,0.341880342,0
3.02985E-4,37.50462758,0.603083785,0.142857143,0.343589744,0
3.04137E-4,37.777768842,0.604476634,0.141743006,0.345299145,0
3.0575E-4,38.021602583,0.606417741,0.140752662,0.347008547,0
3.06838E-4,38.266631161,0.607721103,0.139762317,0.35042735,0
3.09331E-4,38.512932276,0.610692489,0.138771973,0.35042735,0
3.10005E-4,38.760617716,0.611491255,0.137781629,0.352136752,0
3.11456E-4,39.009169305,0.613207057,0.136791285,0.353846154,0
3.13396E-4,39.259329119,0.615489323,0.135800941,0.357264957,0
3.14576E-4,39.510588916,0.616870115,0.134810597,0.358974359,0
3.16178E-4,39.762836578,0.618737823,0.133820253,0.362393162,0
3.17406E-4,40.016352222,0.620161947,0.132829908,0.365811966,0
3.1885E-4,40.271164416,0.621831922,0.131839564,0.372649573,0
3.20237E-4,40.526861715,0.623428392,0.13084922,0.376068376,0
3.22053E-4,40.751648215,0.625507236,0.129982669,0.377777778,0
3.23486E-4,41.010048332,0.627140991,0.128992325,0.377777778,0
3.24826E-4,41.269523576,0.628661233,0.128001981,0.382905983,0
3.26331E-4,41.529991413,0.630361811,0.127011637,0.384615385,0
3.28174E-4,41.759221732,0.632433741,0.126145085,0.384615385,0
3.29831E-4,42.02260697,0.634286169,0.125154741,0.388034188,0
3.3125E-4,42.2542274,0.635865575,0.12428819,0.388034188,0
3.32862E-4,42.519863318,0.637651086,0.123297846,0.38974359,0
3.34653E-4,42.753570212,0.63962524,0.122431295,0.393162393,0
3.36892E-4,43.022051515,0.642078075,0.121440951,0.398290598,0
3.38347E-4,43.258551572,0.643662165,0.1205744,0.4,0
3.40153E-4,43.530285832,0.645619641,0.119584055,0.401709402,0
3.41553E-4,43.768804122,0.647129397,0.118717504,0.405128205,0
3.4293E-4,44.008535715,0.648608471,0.117850953,0.408547009,0
3.4471E-4,44.283478618,0.650510248,0.116860609,0.41025641,0
3.46774E-4,44.525843746,0.652703705,0.115994058,0.411965812,0
3.47991E-4,44.769015002,0.653990573,0.115127507,0.415384615,0
3.50422E-4,45.013753233,0.656546448,0.114260956,0.417094017,0
3.52604E-4,45.259846017,0.658823735,0.113394405,0.420512821,0
3.55292E-4,45.507244256,0.661609283,0.112527853,0.422222222,0
3.56209E-4,45.756251778,0.662554836,0.111661302,0.422222222,0
3.58496E-4,46.006608244,0.664899839,0.110794751,0.423931624,0
3.603E-4,46.258180983,0.66673847,0.1099282,0.427350427,0
3.62458E-4,46.511589419,0.668924795,0.109061649,0.430769231,0
3.62904E-4,46.7654878,0.669375112,0.108195098,0.432478632,0
3.64442E-4,47.020218791,0.670921863,0.107328547,0.435897436,0
3.67354E-4,47.276145164,0.673831074,0.106461996,0.437606838,0
3.70026E-4,47.534178801,0.676478629,0.105595444,0.442735043,0
3.7172E-4,47.756743924,0.678145692,0.104852686,0.451282051,0
3.7305E-4,48.017634645,0.679448549,0.103986135,0.452991453,0
3.74498E-4,48.279372421,0.680861255,0.103119584,0.456410256,0
3.75906E-4,48.50470191,0.682228433,0.102376826,0.456410256,0
3.77472E-4,48.7684802,0.683742168,0.101510275,0.463247863,0
3.78885E-4,49.033203685,0.685102304,0.100643724,0.468376068,0
3.80432E-4,49.260947484,0.686584285,0.099900966,0.475213675,0
3.83082E-4,49.528430439,0.689107834,0.099034414,0.48034188,0
3.85842E-4,49.759323523,0.691713194,0.098291656,0.487179487,0
