Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
3.55528E-6,0.000355528,0.01455012,1,0,0
3.82008E-6,0.000737536,0.015616906,0.999876207,0,0
4.33135E-6,0.001170671,0.017670095,0.999752414,0,0
4.69048E-6,0.002562687,0.019107207,0.999381035,0,0
5.44958E-6,0.005185761,0.022131043,0.99876207,0,0
6.14493E-6,0.010559926,0.024884645,0.997647933,0,0
6.77324E-6,0.025661474,0.027359441,0.994800693,0,0
7.22025E-6,0.050222346,0.029112497,0.990467938,0,0
7.94626E-6,0.100488085,0.03194628,0.982297598,0,0
9.08618E-6,0.200666533,0.036362475,0.967813815,0,0
9.72659E-6,0.300405862,0.038825834,0.954691755,0,0
1.02305E-5,0.400198644,0.040755522,0.942312454,0,0
1.07804E-5,0.500997582,0.042851967,0.930428324,0,0
1.12058E-5,0.60082233,0.044467844,0.919163159,0,0
1.16205E-5,0.701091446,0.046037816,0.908269374,0,0
1.18229E-5,0.750359505,0.046801951,0.903070067,0,0
1.20417E-5,0.800468324,0.047627046,0.89787076,0,0
1.2328E-5,0.900499988,0.04870421,0.887719733,0,0
1.2756E-5,1.000813893,0.050310066,0.877816291,0,0
1.30704E-5,1.100155447,0.051486221,0.868284229,0,0
1.34241E-5,1.200676041,0.052805817,0.858875959,0,0
1.37695E-5,1.300008842,0.054091217,0.849839069,0,0
1.40654E-5,1.400285162,0.05518928,0.840925972,0,0
1.43217E-5,1.501047616,0.056138454,0.832136667,0,0
1.49768E-5,1.751266095,0.058556047,0.810968061,0,0
1.56894E-5,2.000704553,0.06117162,0.790789799,0,0
1.64682E-5,2.251528557,0.064013958,0.771478089,0,0
1.72003E-5,2.500887921,0.066669916,0.753156722,0,0
1.78844E-5,2.751647265,0.069138194,0.73545432,0,0
1.86194E-5,3.00176052,0.071775787,0.718494677,0.001930502,0
1.93719E-5,3.250833342,0.074460379,0.702277792,0.001930502,0
2.01317E-5,3.501549631,0.077155614,0.686556078,0.001930502,0
2.0913E-5,3.751645371,0.079910611,0.67145333,0.001930502,0
2.17942E-5,4.001806736,0.082998406,0.656969547,0.001930502,0
2.27549E-5,4.250906155,0.086340887,0.643104729,0.001930502,0
2.37783E-5,4.502195521,0.089875075,0.629735083,0.001930502,0
2.48422E-5,4.750037418,0.093520544,0.617108195,0.005791506,0
2.57626E-5,5.000763406,0.096650296,0.604852686,0.005791506,0
2.68468E-5,5.250643508,0.100309947,0.59309235,0.005791506,0
2.78572E-5,5.502753992,0.103693673,0.581703392,0.011583012,0
2.89246E-5,5.752326741,0.107240888,0.570809606,0.017374517,0
3.0025E-5,6.002801172,0.110868365,0.5602872,0.021235521,0
3.12152E-5,6.250380951,0.114758705,0.550259965,0.025096525,0
3.22693E-5,6.500826096,0.118176059,0.540480317,0.025096525,0
3.33494E-5,6.750463652,0.121650373,0.531072048,0.028957529,0
3.44109E-5,7.001089684,0.125038271,0.521911364,0.032818533,0
3.56291E-5,7.253528789,0.128894215,0.512998267,0.038610039,0
3.67228E-5,7.503137218,0.132327538,0.504456549,0.038610039,0
3.79849E-5,7.753473208,0.136255605,0.496162416,0.040540541,0
3.91986E-5,8.000939966,0.139999802,0.488239663,0.040540541,0
4.04298E-5,8.251718005,0.143764972,0.480440703,0.044401544,0
4.16009E-5,8.501690897,0.147315625,0.472889329,0.048262548,0
4.31398E-5,8.751893338,0.15193742,0.465585541,0.05019305,0
4.45895E-5,9.002137145,0.156245402,0.458529339,0.052123552,0
4.58581E-5,9.250563608,0.159979487,0.451720723,0.054054054,0
4.72459E-5,9.501903699,0.16402683,0.4450359,0.057915058,0
4.86911E-5,9.751347533,0.168200234,0.438598663,0.05984556,0
5.01496E-5,10.003053164,0.172370149,0.432285219,0.05984556,0
5.13443E-5,10.25176404,0.175754771,0.426219361,0.063706564,0
5.28501E-5,10.50190834,0.179981471,0.420277296,0.069498069,0
5.48518E-5,10.75497263,0.185533608,0.414459025,0.069498069,0
5.68614E-5,11.001289421,0.191032344,0.409012132,0.073359073,0
5.89921E-5,11.250756538,0.196782101,0.403689032,0.073359073,0
6.10419E-5,11.504131229,0.202236856,0.398489725,0.077220077,0
6.26187E-5,11.751839539,0.206382626,0.393538004,0.077220077,0
6.43064E-5,12.005206268,0.210772721,0.388586284,0.079150579,0
6.64072E-5,12.25406487,0.216170057,0.383882149,0.081081081,0
6.81854E-5,12.503033038,0.22068104,0.379301807,0.081081081,0
7.06988E-5,12.75238511,0.226969172,0.374845259,0.084942085,0
7.2119E-5,13.002276832,0.2304777,0.370512503,0.086872587,0
7.38314E-5,13.250356195,0.234665982,0.36630354,0.088803089,0
7.59273E-5,13.504548063,0.239730709,0.362094578,0.096525097,0
7.8186E-5,13.751121808,0.245114254,0.358133201,0.098455598,0
