Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.40032E-6,0.000240032,0.009650859,1,0,0
2.52191E-6,0.000492223,0.010137213,0.999876207,0,0
2.68473E-6,0.000760696,0.010788161,0.999752414,0,0
2.71945E-6,0.001032641,0.010926912,0.999628621,0,0
3.3736E-6,0.002634511,0.01353748,0.999009656,0,0
4.04651E-6,0.005269364,0.016215701,0.998143105,0,0
4.38821E-6,0.010418215,0.017572889,0.996657589,0,0
4.74837E-6,0.025088038,0.019001416,0.992696212,0,0
5.30585E-6,0.050099566,0.021208455,0.986506561,0,0
6.1097E-6,0.100045806,0.024382108,0.975736568,0,0
7.12173E-6,0.200136995,0.02836303,0.957167616,0,0
7.91704E-6,0.300733978,0.031480094,0.940579351,0,0
8.56377E-6,0.400626222,0.034007443,0.925600396,0,0
9.11155E-6,0.500343254,0.036142927,0.911611785,0,0
9.60454E-6,0.600318505,0.03806079,0.898365932,0,0
1.01231E-5,0.700066247,0.040073836,0.885862837,0,0
1.03071E-5,0.750140141,0.040787271,0.879796979,0,0
1.0524E-5,0.800147768,0.041627379,0.873854915,0,0
1.09825E-5,0.900002197,0.043401044,0.862342164,0,0
1.13293E-5,1.00049291,0.044740673,0.851200792,0,0
1.17118E-5,1.100818339,0.046215561,0.8404308,0,0
1.19987E-5,1.200387449,0.047320767,0.830032186,0,0
1.23235E-5,1.300164809,0.048569861,0.819881159,0,0
1.26866E-5,1.400290423,0.049964571,0.809977717,0,0
1.30303E-5,1.500448876,0.051282871,0.800321862,0,0
1.38237E-5,1.750018043,0.054319323,0.77729636,0,0
1.46529E-5,2.000831386,0.057481949,0.755508789,0,0
1.55113E-5,2.251105978,0.060745202,0.734959148,0,0
1.64551E-5,2.500867207,0.064319707,0.715647437,0,0
1.73421E-5,2.75110428,0.067667001,0.697326071,0.001709402,0
1.82298E-5,3.000146251,0.071004521,0.679995048,0.001709402,0
1.92434E-5,3.250925368,0.074801333,0.663406784,0.003418803,0
2.03289E-5,3.500038011,0.078850079,0.647808864,0.003418803,0
2.1525E-5,3.751047958,0.083290565,0.632953701,0.003418803,0
2.26752E-5,4.001211978,0.087540553,0.61896509,0.003418803,0
2.37611E-5,4.250194749,0.091535056,0.605719237,0.006837607,0
2.4916E-5,4.500978233,0.095764102,0.592968557,0.006837607,0
2.61269E-5,4.751432946,0.1001769,0.580836841,0.006837607,0
2.73578E-5,5.000906802,0.104640874,0.56932409,0.015384615,0
2.85325E-5,5.252030824,0.108879996,0.558182718,0.018803419,0
2.96852E-5,5.501786881,0.113020493,0.547536519,0.025641026,0
3.10061E-5,5.750944763,0.117741551,0.537385491,0.025641026,0
3.25673E-5,6.001840882,0.123288746,0.527605843,0.034188034,0
3.3707E-5,6.250255544,0.127316471,0.518321367,0.035897436,0
3.53887E-5,6.502207378,0.13322563,0.509284476,0.035897436,0
3.67958E-5,6.751248035,0.138139228,0.500742758,0.039316239,0
3.80125E-5,7.001950992,0.142365441,0.492448626,0.041025641,0
3.92398E-5,7.252176557,0.146607394,0.48440208,0.042735043,0
4.06925E-5,7.504066912,0.151601663,0.47660312,0.042735043,0
4.2367E-5,7.75314116,0.157321981,0.469175538,0.044444444,0
4.35774E-5,8.002724215,0.161432763,0.461995543,0.046153846,0
4.52617E-5,8.251222912,0.167119512,0.455063134,0.052991453,0
4.66358E-5,8.504139206,0.171730752,0.448254518,0.052991453,0
4.8014E-5,8.754546279,0.176329779,0.441693488,0.058119658,0
4.97795E-5,9.003830708,0.182184028,0.435380045,0.058119658,0
5.15855E-5,9.252282286,0.188129582,0.429314187,0.061538462,0
5.29648E-5,9.503000605,0.192641238,0.423372122,0.063247863,0
5.49779E-5,9.750827692,0.199181156,0.417677643,0.066666667,0
5.68144E-5,10.002759501,0.205101098,0.412106957,0.07008547,0
5.93564E-5,10.252415299,0.213222774,0.406783857,0.07008547,0
6.14871E-5,10.505907299,0.219966888,0.401584551,0.071794872,0
6.3272E-5,10.755477316,0.225571688,0.39663283,0.071794872,0
6.55585E-5,11.000407537,0.232692651,0.391928695,0.073504274,0
6.75579E-5,11.253526649,0.238865934,0.387224561,0.075213675,0
6.9232E-5,11.506499667,0.243996552,0.382644219,0.076923077,0
