Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
3.44962E-11,0.000000004,0.000000165,0.999722864,0,0
6.99371E-11,0.000000011,0.000000335,0.999630485,0,0
8.18646E-11,0.000000027,0.000000393,0.999445727,0,0
3.66566E-10,0.000000102,0.000001758,0.999168591,0,0
8.82741E-10,0.000000333,0.000004233,0.998891455,0,0
2.63595E-9,0.000001198,0.000012641,0.998429561,0,0
4.84357E-9,0.000002975,0.000023227,0.997967667,0,0
9.68403E-9,0.00001009,0.000046438,0.99704388,0,0
1.52642E-8,0.000025492,0.000073195,0.995935335,0,0
2.1861E-8,0.00005013,0.000104825,0.994734411,0,0
4.22013E-8,0.000102253,0.000202338,0.993256351,0,0
7.9104E-8,0.000250491,0.000379205,0.990946882,0,0
1.29841E-7,0.000504296,0.000622275,0.988637413,0,0
1.86908E-7,0.001006056,0.000895528,0.985681293,0,0
2.697E-7,0.002519125,0.001291694,0.979491917,0,0
3.44523E-7,0.005026402,0.001649461,0.972009238,0,0
4.65949E-7,0.010025007,0.002229513,0.960646651,0,0
7.85437E-7,0.025054864,0.003752487,0.938752887,0,0
1.08462E-6,0.050071444,0.005174443,0.91408776,0,0
1.62138E-6,0.100024154,0.00771548,0.879722864,0,0
2.66988E-6,0.200212011,0.012641765,0.835658199,0,0
3.60514E-6,0.300251061,0.016994916,0.805819861,0,0
4.47987E-6,0.400416175,0.021031703,0.782725173,0,0
5.31851E-6,0.500243813,0.024870974,0.763972286,0,0
5.9557E-6,0.600125671,0.027767925,0.747621247,0,0
6.56054E-6,0.700391931,0.030501925,0.732840647,0,0
6.86669E-6,0.750678834,0.031879919,0.72591224,0,0
7.22277E-6,0.800651077,0.033477758,0.719353349,0,0
7.85233E-6,0.900525626,0.036289873,0.707159353,0,0
8.55876E-6,1.000617791,0.039425949,0.695889145,0,0
9.15992E-6,1.100568506,0.042078712,0.685450346,0,0
9.7136E-6,1.200477484,0.044508966,0.675658199,0,0
1.03808E-5,1.300019196,0.047421147,0.666512702,0.00105042,0
1.10596E-5,1.400582396,0.05036609,0.657829099,0.00105042,0
1.17402E-5,1.500004283,0.053300095,0.649792148,0.00210084,0
1.33145E-5,1.75049615,0.060018573,0.631316397,0.003151261,0
1.47595E-5,2.000009472,0.06610156,0.614872979,0.003151261,0
1.61159E-5,2.250643424,0.071740471,0.599907621,0.004201681,0
1.75183E-5,2.500475522,0.077499734,0.586143187,0.004201681,0
1.86354E-5,2.75032177,0.082036045,0.573394919,0.005252101,0
2.01202E-5,3.000074264,0.087997307,0.56147806,0.006302521,0
2.13266E-5,3.251113008,0.092784179,0.550300231,0.006302521,0
2.26709E-5,3.501616812,0.098058843,0.539769053,0.006302521,0
2.38998E-5,3.750955011,0.102827995,0.529884527,0.007352941,0
2.53812E-5,4.002510623,0.108509973,0.520461894,0.009453782,0
2.6692E-5,4.250478036,0.113477799,0.511685912,0.010504202,0
2.7996E-5,4.501433476,0.11836571,0.503187067,0.011554622,0
2.94259E-5,4.751309814,0.123663482,0.495150115,0.013655462,0.009433962
3.10601E-5,5.002566135,0.129640842,0.487482679,0.019957983,0.009433962
3.27195E-5,5.252104025,0.135627627,0.480277136,0.022058824,0.009433962
3.38775E-5,5.50199811,0.139756758,0.47334873,0.027310924,0.009433962
3.56766E-5,5.752269593,0.146094457,0.46669746,0.031512605,0.018867925
3.70066E-5,6.003062229,0.150720084,0.460323326,0.034663866,0.018867925
3.83703E-5,6.251642681,0.155410701,0.454226328,0.039915966,0.018867925
3.96161E-5,6.501050901,0.159651308,0.448314088,0.045168067,0.018867925
4.10107E-5,6.750937435,0.16434753,0.442586605,0.047268908,0.028301887
4.25279E-5,7.001547747,0.169397647,0.43704388,0.055672269,0.037735849
4.38509E-5,7.252053144,0.17375204,0.431685912,0.057773109,0.047169811
4.49106E-5,7.500516067,0.177206728,0.426512702,0.058823529,0.047169811
4.60047E-5,7.750889548,0.180743562,0.421431871,0.06407563,0.047169811
4.77775E-5,8.003845884,0.186410239,0.416443418,0.067226891,0.056603774
