variable,x,y
100kmsq_mwmt_final,-9.027500247955322,0.0
100kmsq_mwmt_final,-8.95004024658203,0.0
100kmsq_mwmt_final,-8.87258024520874,0.0
100kmsq_mwmt_final,-8.795120243835449,0.0
100kmsq_mwmt_final,-8.717660242462157,0.0
100kmsq_mwmt_final,-8.640200241088866,0.0
100kmsq_mwmt_final,-8.562740239715575,0.0
100kmsq_mwmt_final,-8.485280238342284,0.0
100kmsq_mwmt_final,-8.407820236968993,0.0
100kmsq_mwmt_final,-8.330360235595702,0.0
100kmsq_mwmt_final,-8.252900234222412,0.0
100kmsq_mwmt_final,-8.175440232849121,0.0
100kmsq_mwmt_final,-8.09798023147583,0.0
100kmsq_mwmt_final,-8.02052023010254,0.0
100kmsq_mwmt_final,-7.943060228729248,0.0
100kmsq_mwmt_final,-7.865600227355957,0.0
100kmsq_mwmt_final,-7.788140225982666,0.0
100kmsq_mwmt_final,-7.710680224609375,0.0
100kmsq_mwmt_final,-7.6332202232360835,0.0
100kmsq_mwmt_final,-7.555760221862792,0.0
100kmsq_mwmt_final,-7.478300220489501,0.0
100kmsq_mwmt_final,-7.40084021911621,0.0
100kmsq_mwmt_final,-7.323380217742919,0.0
100kmsq_mwmt_final,-7.245920216369629,0.0
100kmsq_mwmt_final,-7.168460214996338,0.0
100kmsq_mwmt_final,-7.0910002136230466,0.0
100kmsq_mwmt_final,-7.013540212249755,0.0
100kmsq_mwmt_final,-6.936080210876464,0.0
100kmsq_mwmt_final,-6.858620209503173,0.0
100kmsq_mwmt_final,-6.781160208129882,0.0
100kmsq_mwmt_final,-6.703700206756592,0.0
100kmsq_mwmt_final,-6.626240205383301,0.0
100kmsq_mwmt_final,-6.54878020401001,0.0
100kmsq_mwmt_final,-6.4713202026367185,0.0
100kmsq_mwmt_final,-6.393860201263427,0.0
100kmsq_mwmt_final,-6.316400199890136,0.0
100kmsq_mwmt_final,-6.238940198516845,0.0
100kmsq_mwmt_final,-6.161480197143554,0.0
100kmsq_mwmt_final,-6.084020195770263,0.0
100kmsq_mwmt_final,-6.006560194396972,0.0
100kmsq_mwmt_final,-5.929100193023681,0.0
100kmsq_mwmt_final,-5.85164019165039,0.0
100kmsq_mwmt_final,-5.774180190277099,3.666490722142868E-11
100kmsq_mwmt_final,-5.696720188903808,4.239596174127058E-11
100kmsq_mwmt_final,-5.619260187530517,4.900162567378352E-11
100kmsq_mwmt_final,-5.541800186157226,5.6612107363074315E-11
100kmsq_mwmt_final,-5.464340184783936,6.537628077785129E-11
100kmsq_mwmt_final,-5.386880183410645,7.546465535801516E-11
100kmsq_mwmt_final,-5.309420182037353,8.70722521861822E-11
100kmsq_mwmt_final,-5.231960180664062,1.0042180281777391E-10
100kmsq_mwmt_final,-5.154500179290771,1.157681520091991E-10
100kmsq_mwmt_final,-5.07704017791748,1.3340198390388025E-10
100kmsq_mwmt_final,-4.999580176544189,1.5365542171963398E-10
100kmsq_mwmt_final,-4.922120175170897,1.7690753029153683E-10
100kmsq_mwmt_final,-4.844660173797607,2.03590186376168E-10
100kmsq_mwmt_final,-4.7672001724243165,2.3419638450761227E-10
100kmsq_mwmt_final,-4.6897401710510245,2.6928712038021274E-10
100kmsq_mwmt_final,-4.612280169677734,3.095020073562438E-10
100kmsq_mwmt_final,-4.534820168304442,3.555692129619814E-10
100kmsq_mwmt_final,-4.457360166931152,4.083164917290105E-10
100kmsq_mwmt_final,-4.379900165557861,4.686865895386916E-10
100kmsq_mwmt_final,-4.30244016418457,5.377497336311876E-10
100kmsq_mwmt_final,-4.224980162811279,6.167232835530001E-10
100kmsq_mwmt_final,-4.1475201614379875,7.069900220812997E-10
100kmsq_mwmt_final,-4.070060160064696,8.101180282160669E-10
100kmsq_mwmt_final,-3.992600158691406,9.278888768449178E-10
100kmsq_mwmt_final,-3.915140157318114,1.0623217860938894E-9
100kmsq_mwmt_final,-3.837680155944824,1.2157063133955148E-9
100kmsq_mwmt_final,-3.760220154571532,1.3906366058691333E-9
100kmsq_mwmt_final,-3.6827601531982417,1.5900506467048103E-9
100kmsq_mwmt_final,-3.6053001518249506,1.8172759963519525E-9
100kmsq_mwmt_final,-3.5278401504516594,2.0760759777971316E-9
100kmsq_mwmt_final,-3.4503801490783683,2.3707080742951803E-9
100kmsq_mwmt_final,-3.372920147705077,2.705984769590941E-9
100kmsq_mwmt_final,-3.295460146331786,3.0873432699252135E-9
100kmsq_mwmt_final,-3.218000144958496,3.520927549516273E-9
100kmsq_mwmt_final,-3.140540143585204,4.013670285019089E-9
100kmsq_mwmt_final,-3.0630801422119136,4.573395884222009E-9
100kmsq_mwmt_final,-2.9856201408386216,5.208927511546335E-9
100kmsq_mwmt_final,-2.9081601394653314,5.930210988935869E-9
100kmsq_mwmt_final,-2.8307001380920402,6.748458236671695E-9
100kmsq_mwmt_final,-2.753240136718749,7.676291602365382E-9
100kmsq_mwmt_final,-2.675780135345459,8.727920608464501E-9
100kmsq_mwmt_final,-2.598320133972167,9.919332022434446E-9
100kmsq_mwmt_final,-2.5208601325988766,1.1268514121809403E-8
100kmsq_mwmt_final,-2.4434001312255846,1.2795679182886488E-8
100kmsq_mwmt_final,-2.3659401298522944,1.4523539704214272E-8
100kmsq_mwmt_final,-2.2884801284790033,1.6477605058184963E-8
100kmsq_mwmt_final,-2.211020127105712,1.8686499458908656E-8
100kmsq_mwmt_final,-2.133560125732421,2.118236430703746E-8
100kmsq_mwmt_final,-2.05610012435913,2.400122411927441E-8
100kmsq_mwmt_final,-1.9786401229858388,2.7183462592006435E-8
100kmsq_mwmt_final,-1.9011801216125486,3.0774327086646736E-8
100kmsq_mwmt_final,-1.8237201202392566,3.482449528746656E-8
100kmsq_mwmt_final,-1.7462601188659663,3.9390684491991124E-8
100kmsq_mwmt_final,-1.6688001174926743,4.4536360377378514E-8
100kmsq_mwmt_final,-1.591340116119384,5.0332484846649095E-8
100kmsq_mwmt_final,-1.513880114746093,5.685836867996841E-8
100kmsq_mwmt_final,-1.4364201133728018,6.420264497819517E-8
100kmsq_mwmt_final,-1.3589601119995107,7.246426036999765E-8
100kmsq_mwmt_final,-1.2815001106262196,8.175368293450447E-8
100kmsq_mwmt_final,-1.2040401092529285,9.219412078209643E-8
100kmsq_mwmt_final,-1.1265801078796382,1.0392295735073276E-7
100kmsq_mwmt_final,-1.0491201065063462,1.170933714433886E-7
100kmsq_mwmt_final,-0.971660105133056,1.3187592173835583E-7
100kmsq_mwmt_final,-0.8942001037597649,1.4846060025774932E-7
100kmsq_mwmt_final,-0.816740102386472,1.6705878636003035E-7
100kmsq_mwmt_final,-0.7392801010131826,1.8790566969073552E-7
100kmsq_mwmt_final,-0.6618200996398915,2.1126274418747926E-7
100kmsq_mwmt_final,-0.5843600982666004,2.37420593407478E-7
100kmsq_mwmt_final,-0.5069000968933111,2.66702045337297E-7
100kmsq_mwmt_final,-0.42944009552001816,2.994654266785801E-7
100kmsq_mwmt_final,-0.35198009414672704,3.361085134656605E-7
100kmsq_mwmt_final,-0.2745200927734359,3.770724390506075E-7
100kmsq_mwmt_final,-0.19706009140014658,4.228462842092995E-7
100kmsq_mwmt_final,-0.11960009002685545,4.7397202251886483E-7
100kmsq_mwmt_final,-0.04214008865356256,5.310498636390548E-7
100kmsq_mwmt_final,0.03531991271972856,5.947444492448994E-7
100kmsq_mwmt_final,0.11277991409301791,6.657909921159444E-7
100kmsq_mwmt_final,0.19023991546630903,7.450027510458312E-7
100kmsq_mwmt_final,0.26769991683960015,8.332787615472625E-7
100kmsq_mwmt_final,0.34515991821289305,9.316121918345743E-7
100kmsq_mwmt_final,0.4226199195861824,1.0411000630483613E-6
100kmsq_mwmt_final,0.5000799209594735,1.1629531400103588E-6
100kmsq_mwmt_final,0.5775399223327646,1.2985074135940522E-6
100kmsq_mwmt_final,0.6549999237060558,1.4492358104689629E-6
100kmsq_mwmt_final,0.7324599250793469,1.6167621197382687E-6
100kmsq_mwmt_final,0.809919926452638,1.802875317480357E-6
100kmsq_mwmt_final,0.8873799278259291,2.0095446870982414E-6
100kmsq_mwmt_final,0.9648399291992202,2.2389381229004357E-6
100kmsq_mwmt_final,1.0422999305725096,2.4934402063081507E-6
100kmsq_mwmt_final,1.1197599319458025,2.7756725557992468E-6
100kmsq_mwmt_final,1.1972199333190936,3.0885169053362915E-6
100kmsq_mwmt_final,1.2746799346923847,3.435137386986753E-6
100kmsq_mwmt_final,1.352139936065674,3.819009634753456E-6
100kmsq_mwmt_final,1.4295999374389652,4.2439451135578565E-6
100kmsq_mwmt_final,1.507059938812258,4.714126589533407E-6
100kmsq_mwmt_final,1.5845199401855492,5.234137915977044E-6
100kmsq_mwmt_final,1.6619799415588385,5.809001322631957E-6
100kmsq_mwmt_final,1.7394399429321297,6.444218342949171E-6
100kmsq_mwmt_final,1.8168999443054208,7.145808467612369E-6
100kmsq_mwmt_final,1.894359945678712,7.920361895230599E-6
100kmsq_mwmt_final,1.971819947052003,8.775079550105147E-6
100kmsq_mwmt_final,2.049279948425294,9.717832654132508E-6
100kmsq_mwmt_final,2.1267399497985853,1.0757225936686154E-5
100kmsq_mwmt_final,2.2041999511718746,1.1902647202077787E-5
100kmsq_mwmt_final,2.2816599525451675,1.3164340089133475E-5
100kmsq_mwmt_final,2.3591199539184586,1.4553490473190323E-5
100kmsq_mwmt_final,2.4365799552917498,1.6082280126283877E-5
100kmsq_mwmt_final,2.514039956665039,1.776398676156532E-5
100kmsq_mwmt_final,2.59149995803833,1.961307498277165E-5
100kmsq_mwmt_final,2.668959959411623,2.164527541026473E-5
100kmsq_mwmt_final,2.7464199607849142,2.387773201917298E-5
100kmsq_mwmt_final,2.8238799621582036,2.6329062166041695E-5
100kmsq_mwmt_final,2.9013399635314947,2.9019509383942932E-5
100kmsq_mwmt_final,2.978799964904786,3.197105979779735E-5
100kmsq_mwmt_final,3.0562599662780787,3.520758400554769E-5
100kmsq_mwmt_final,3.133719967651368,3.875501352013089E-5
100kmsq_mwmt_final,3.211179969024659,4.264143717591651E-5
100kmsq_mwmt_final,3.2886399703979503,4.689732304541394E-5
100kmsq_mwmt_final,3.3660999717712414,5.1555685786297545E-5
100kmsq_mwmt_final,3.4435599731445325,5.6652257626410574E-5
100kmsq_mwmt_final,3.5210199745178237,6.222576485015452E-5
100kmsq_mwmt_final,3.598479975891115,6.831805512774736E-5
100kmsq_mwmt_final,3.675939977264404,7.497438491554931E-5
100kmsq_mwmt_final,3.753399978637697,8.224368502851576E-5
100kmsq_mwmt_final,3.830859980010988,9.017875709105283E-5
100kmsq_mwmt_final,3.9083199813842793,9.88366809906438E-5
100kmsq_mwmt_final,3.9857799827575686,1.0827898950083181E-4
100kmsq_mwmt_final,4.06323998413086,1.1857205390697345E-4
100kmsq_mwmt_final,4.140699985504153,1.2978735321667045E-4
100kmsq_mwmt_final,4.218159986877444,1.4200207078829408E-4
100kmsq_mwmt_final,4.295619988250733,1.5529902884736657E-4
100kmsq_mwmt_final,4.373079989624024,1.697675761533901E-4
100kmsq_mwmt_final,4.450539990997315,1.8550382810644805E-4
100kmsq_mwmt_final,4.527999992370608,2.0261082681827247E-4
100kmsq_mwmt_final,4.605459993743898,2.2119964705780149E-4
100kmsq_mwmt_final,4.682919995117189,2.413891488686204E-4
100kmsq_mwmt_final,4.76037999649048,2.633072144817561E-4
100kmsq_mwmt_final,4.837839997863771,2.8709106845781207E-4
100kmsq_mwmt_final,4.915299999237062,3.1288727768696845E-4
100kmsq_mwmt_final,4.992760000610353,3.408535849303007E-4
100kmsq_mwmt_final,5.070220001983644,3.711582103278488E-4
100kmsq_mwmt_final,5.147680003356935,4.0398159762844443E-4
100kmsq_mwmt_final,5.225140004730225,4.395169671624899E-4
100kmsq_mwmt_final,5.302600006103518,4.779699956998229E-4
100kmsq_mwmt_final,5.380060007476809,5.195614648982882E-4
100kmsq_mwmt_final,5.4575200088501,5.64526068046689E-4
100kmsq_mwmt_final,5.534980010223389,6.131150294095278E-4
100kmsq_mwmt_final,5.61244001159668,6.655962788499892E-4
100kmsq_mwmt_final,5.689900012969973,7.222544518299401E-4
100kmsq_mwmt_final,5.767360014343264,7.833940326236188E-4
100kmsq_mwmt_final,5.844820015716554,8.493378409184515E-4
100kmsq_mwmt_final,5.922280017089845,9.204302332364023E-4
100kmsq_mwmt_final,5.999740018463136,9.970376268029213E-4
100kmsq_mwmt_final,6.077200019836427,0.001079547917470336
100kmsq_mwmt_final,6.154660021209718,0.0011683747870847583
100kmsq_mwmt_final,6.232120022583009,0.0012639553751796484
100kmsq_mwmt_final,6.3095800239563005,0.0013667548773810267
100kmsq_mwmt_final,6.38704002532959,0.0014772663125768304
100kmsq_mwmt_final,6.464500026702883,0.0015960100572556257
100kmsq_mwmt_final,6.541960028076174,0.0017235396662726998
100kmsq_mwmt_final,6.619420029449465,0.0018604375654831529
100kmsq_mwmt_final,6.696880030822754,0.002007321920245886
100kmsq_mwmt_final,6.774340032196045,0.002164845820516348
100kmsq_mwmt_final,6.851800033569338,0.0023336955346167088
100kmsq_mwmt_final,6.929260034942629,0.0025145995896309614
100kmsq_mwmt_final,7.0067200363159206,0.0027083209715783596
100kmsq_mwmt_final,7.08418003768921,0.002915667137131095
100kmsq_mwmt_final,7.161640039062499,0.0031374876853078604
100kmsq_mwmt_final,7.239100040435792,0.0033746729604899883
100kmsq_mwmt_final,7.316560041809085,0.0036281635984778404
100kmsq_mwmt_final,7.394020043182378,0.0038989416789263487
100kmsq_mwmt_final,7.471480044555664,0.0041880421340465546
100kmsq_mwmt_final,7.548940045928957,0.004496550187468529
100kmsq_mwmt_final,7.626400047302246,0.00482559809461236
