Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.19913E-11,0.000000001,0.000000033,0.999752414,0,0
1.97108E-11,0.000000003,0.000000055,0.999628621,0,0
4.16169E-11,0.000000012,0.000000115,0.999257242,0,0
1.36207E-10,0.000000034,0.000000378,0.999009656,0,0
4.39777E-10,0.000000106,0.00000122,0.99876207,0,0
4.005E-9,0.000000599,0.000011108,0.998514484,0,0
1.88654E-8,0.000002486,0.000052324,0.998390691,0,0
2.1467E-8,0.000004633,0.000059539,0.998266898,0,0
3.00792E-8,0.000010509,0.000083423,0.998019312,0,0
3.72876E-8,0.000027376,0.000103413,0.997400347,0,0
4.62372E-8,0.000052606,0.00012823,0.996657589,0,0
6.31059E-8,0.000103517,0.000175005,0.995543451,0,0
9.09898E-8,0.000256407,0.000252312,0.993067591,0,0
1.34568E-7,0.000500827,0.000373107,0.990467938,0,0
1.95749E-7,0.001012411,0.00054265,0.986506561,0,0
3.14793E-7,0.002516099,0.00087237,0.97907898,0,0
3.86462E-7,0.005033421,0.001070772,0.970165883,0,0
5.28991E-7,0.010032109,0.001465099,0.956672444,0,0
8.73063E-7,0.025085547,0.00241574,0.929809359,0,0
1.24142E-6,0.050055245,0.003431473,0.900841793,0,0
1.85395E-6,0.100107671,0.005115943,0.860609062,0,0
2.86984E-6,0.200034858,0.007897134,0.807997029,0,0
3.99007E-6,0.30022801,0.010946013,0.771849468,0,0
4.93613E-6,0.400353505,0.013506284,0.744119832,0,0
5.81081E-6,0.500251016,0.015861643,0.72109433,0,0
6.60775E-6,0.600441766,0.017997868,0.701163654,0,0
7.2784E-6,0.700650935,0.019788415,0.68333746,0,0
7.64679E-6,0.75055432,0.020769188,0.675043328,0.001901141,0
7.94011E-6,0.800409179,0.021548702,0.667120574,0.001901141,0
8.68077E-6,0.900665576,0.023511524,0.652141619,0.001901141,0
9.45003E-6,1.000490947,0.02554182,0.638524387,0.001901141,0
1.03164E-5,1.100206968,0.02781821,0.626021292,0.001901141,0
1.12096E-5,1.200463627,0.030154115,0.614508542,0.001901141,0.016949153
1.20093E-5,1.300419605,0.032236082,0.603862342,0.001901141,0.016949153
