variable,x,y
mcmt_sept20.asc,-40.59562582969666,0.0
mcmt_sept20.asc,-40.49238082809448,0.0
mcmt_sept20.asc,-40.389135826492314,0.0
mcmt_sept20.asc,-40.28589082489014,0.0
mcmt_sept20.asc,-40.18264582328797,0.0
mcmt_sept20.asc,-40.079400821685795,0.0
mcmt_sept20.asc,-39.97615582008362,0.0
mcmt_sept20.asc,-39.87291081848145,0.0
mcmt_sept20.asc,-39.769665816879275,0.0
mcmt_sept20.asc,-39.6664208152771,0.0
mcmt_sept20.asc,-39.56317581367493,0.0
mcmt_sept20.asc,-39.459930812072756,0.0
mcmt_sept20.asc,-39.35668581047058,0.0
mcmt_sept20.asc,-39.25344080886841,0.0
mcmt_sept20.asc,-39.150195807266236,0.0
mcmt_sept20.asc,-39.04695080566407,0.0
mcmt_sept20.asc,-38.94370580406189,0.0
mcmt_sept20.asc,-38.84046080245972,0.0
mcmt_sept20.asc,-38.73721580085755,0.0
mcmt_sept20.asc,-38.63397079925537,0.0
mcmt_sept20.asc,-38.530725797653204,0.0
mcmt_sept20.asc,-38.42748079605103,0.0
mcmt_sept20.asc,-38.32423579444885,0.0
mcmt_sept20.asc,-38.220990792846685,0.0
mcmt_sept20.asc,-38.11774579124451,0.0
mcmt_sept20.asc,-38.014500789642334,0.0
mcmt_sept20.asc,-37.911255788040165,0.0
mcmt_sept20.asc,-37.80801078643799,0.0
mcmt_sept20.asc,-37.704765784835814,0.0
mcmt_sept20.asc,-37.601520783233646,0.0
mcmt_sept20.asc,-37.49827578163147,0.0
mcmt_sept20.asc,-37.3950307800293,0.0
mcmt_sept20.asc,-37.291785778427126,0.0
mcmt_sept20.asc,-37.18854077682495,0.0
mcmt_sept20.asc,-37.08529577522278,0.0
mcmt_sept20.asc,-36.98205077362061,0.0
mcmt_sept20.asc,-36.87880577201844,0.0
mcmt_sept20.asc,-36.77556077041626,0.0
mcmt_sept20.asc,-36.67231576881409,0.0
mcmt_sept20.asc,-36.56907076721192,0.0
mcmt_sept20.asc,-36.46582576560974,0.0
mcmt_sept20.asc,-36.362580764007575,0.0
mcmt_sept20.asc,-36.2593357624054,4.331559466663748E-4
mcmt_sept20.asc,-36.156090760803224,4.638575192075223E-4
mcmt_sept20.asc,-36.05284575920105,4.965905100107193E-4
mcmt_sept20.asc,-35.94960075759888,5.314784939400852E-4
mcmt_sept20.asc,-35.846355755996704,5.686516524292529E-4
mcmt_sept20.asc,-35.743110754394536,6.082474137656391E-4
mcmt_sept20.asc,-35.63986575279236,6.504104821942747E-4
mcmt_sept20.asc,-35.536620751190185,6.952931289561093E-4
mcmt_sept20.asc,-35.433375749588016,7.430558907799423E-4
mcmt_sept20.asc,-35.33013074798584,7.938676280900836E-4
mcmt_sept20.asc,-35.22688574638367,8.479059324599802E-4
mcmt_sept20.asc,-35.1236407447815,9.053575922735035E-4
mcmt_sept20.asc,-35.02039574317932,9.664189419709146E-4
mcmt_sept20.asc,-34.91715074157715,0.0010312962112948298
mcmt_sept20.asc,-34.81390573997498,0.001100206165574491
mcmt_sept20.asc,-34.71066073837281,0.0011733787832781672
mcmt_sept20.asc,-34.60741573677063,0.0012510474771261215
mcmt_sept20.asc,-34.50417073516846,0.0013334652176126838
mcmt_sept20.asc,-34.40092573356628,0.00142089428845793
mcmt_sept20.asc,-34.297680731964114,0.0015136096626520157
mcmt_sept20.asc,-34.19443573036194,0.0016118997009471059
mcmt_sept20.asc,-34.09119072875977,0.0017160656861960888
mcmt_sept20.asc,-33.987945727157594,0.0018264235695824027
mcmt_sept20.asc,-33.88470072555542,0.0019433035049587488
mcmt_sept20.asc,-33.78145572395325,0.0020670508965849876
mcmt_sept20.asc,-33.678210722351075,0.002198026515543461
mcmt_sept20.asc,-33.57496572074891,0.0023366070818156004
mcmt_sept20.asc,-33.47172071914673,0.0024831867776811123
mcmt_sept20.asc,-33.368475717544555,0.002638176316395402
mcmt_sept20.asc,-33.26523071594239,0.002802003873512149
mcmt_sept20.asc,-33.16198571434021,0.0029751164838671684
mcmt_sept20.asc,-33.05874071273804,0.0031579795759171247
mcmt_sept20.asc,-32.95549571113587,0.0033510855864733458
mcmt_sept20.asc,-32.85225070953369,0.003554925322532654
mcmt_sept20.asc,-32.749005707931516,0.0037700303364545107
mcmt_sept20.asc,-32.64576070632935,0.003996947780251503
mcmt_sept20.asc,-32.54251570472718,0.004236244596540928
mcmt_sept20.asc,-32.439270703125004,0.004488510545343161
mcmt_sept20.asc,-32.33602570152283,0.004754358436912298
mcmt_sept20.asc,-32.23278069992065,0.005034423433244228
mcmt_sept20.asc,-32.129535698318485,0.0053293644450604916
mcmt_sept20.asc,-32.02629069671631,0.005639864131808281
mcmt_sept20.asc,-31.923045695114137,0.00596662936732173
mcmt_sept20.asc,-31.819800693511965,0.00631039310246706
mcmt_sept20.asc,-31.71655569190979,0.006671912036836147
mcmt_sept20.asc,-31.61331069030762,0.00705197686329484
mcmt_sept20.asc,-31.510065688705446,0.007451382465660572
mcmt_sept20.asc,-31.406820687103274,0.007870971225202084
mcmt_sept20.asc,-31.3035756855011,0.008311604149639606
mcmt_sept20.asc,-31.200330683898926,0.008774169720709324
mcmt_sept20.asc,-31.097085682296758,0.009259585291147232
mcmt_sept20.asc,-30.993840680694582,0.009768791496753693
mcmt_sept20.asc,-30.89059567909241,0.01030275970697403
mcmt_sept20.asc,-30.787350677490235,0.010862485505640507
mcmt_sept20.asc,-30.684105675888063,0.011449005454778671
mcmt_sept20.asc,-30.58086067428589,0.012063349597156048
mcmt_sept20.asc,-30.47761567268372,0.012706604786217213
mcmt_sept20.asc,-30.374370671081543,0.013379876501858234
mcmt_sept20.asc,-30.27112566947937,0.01408429630100727
mcmt_sept20.asc,-30.1678806678772,0.014821021817624569
mcmt_sept20.asc,-30.064635666275027,0.015591233037412167
mcmt_sept20.asc,-29.961390664672855,0.016396138817071915
